ts_hk,hk_close_hkd,usdhkd,hk_close_usdt,gate_close,spread_usdt_minus_hk_usdt,spread_pct_vs_hk_usdt,hk_volume,gate_volume_contracts,hk_ret_from_first_pct,gate_ret_from_first_pct,relative_return_gap_pct
2026-05-08 09:54,960.0,7.828199863433838,122.63355774604562,122.36,-0.27355774604562555,-0.22306924064954525,2300.0,1,0.0,0.0,0.0
2026-05-08 09:55,958.0,7.828199863433838,122.37807116740802,122.36,-0.01807116740802428,-0.014766671214570534,1600.0,1,-0.2083333333333326,0.0,0.2083333333333326
2026-05-08 09:56,960.5,7.828199863433838,122.69742939070503,122.47,-0.22742939070502644,-0.18535790996959176,900.0,2,0.05208333333333037,0.08989865969271094,0.03781532635938056
2026-05-08 09:57,958.5,7.828199863433838,122.44194281206742,122.42,-0.021942812067422324,-0.017920993054726116,2800.0,1,-0.15625000000000222,0.049035632559668585,0.2052856325596708
2026-05-08 09:58,960.5,7.828199863433838,122.69742939070503,122.42,-0.2774293907050236,-0.22610855996143658,1700.0,1,0.05208333333333037,0.049035632559668585,-0.003047700773661788
2026-05-08 09:59,956.5,7.828199863433838,122.18645623342982,122.42,0.23354376657017895,0.1911371961913747,2100.0,1,-0.3645833333333348,0.049035632559668585,0.4136189658930034
2026-05-08 10:01,953.5,7.828199863433838,121.80322636547344,122.0,0.19677363452656493,0.16155042883358525,5000.0,2,-0.6770833333333282,-0.294213795357956,0.38286953797537215
2026-05-08 10:02,954.5,7.828199863433838,121.93096965479224,121.84,-0.09096965479223229,-0.07460750541866697,1800.0,44,-0.5729166666666674,-0.4249754821837204,0.14794118448294702
2026-05-08 10:03,955.0,7.828199863433838,121.99484129945164,122.2,0.20515870054836682,0.16816998027382082,300.0,49,-0.520833333333337,-0.1307616868257533,0.39007164650758375
2026-05-08 10:04,962.5,7.828199863433838,122.95291596934261,122.47,-0.4829159693426135,-0.3927649584683498,1200.0,1,0.26041666666667407,0.08989865969271094,-0.17051800697396313
2026-05-08 10:05,957.5,7.828199863433838,122.31419952274862,122.47,0.15580047725137547,0.12737726106967565,3800.0,1,-0.26041666666666297,0.08989865969271094,0.3503153263593739
2026-05-08 10:06,963.0,7.828199863433838,123.01678761400201,122.47,-0.5467876140020138,-0.44448211061867904,6700.0,1,0.31250000000000444,0.08989865969271094,-0.2226013403072935
2026-05-08 10:07,957.5,7.828199863433838,122.31419952274862,122.48,0.16580047725138058,0.1355529267233966,1500.0,1,-0.26041666666666297,0.09807126511931497,0.35848793178597793
2026-05-08 10:08,955.0,7.828199863433838,121.99484129945164,122.48,0.48515870054836796,0.39768788202895,4100.0,2,-0.520833333333337,0.09807126511931497,0.618904598452652
2026-05-08 10:10,947.0,7.828199863433838,120.97289498490126,121.33,0.35710501509873893,0.29519423763753816,3300.0,1,-1.3541666666666674,-0.8417783589408367,0.5123883077258307
2026-05-08 10:11,937.0,7.828199863433838,119.69546209171328,121.03,1.3345379082867197,1.1149444473209582,14300.0,1,-2.3958333333333304,-1.0869565217391242,1.3088768115942062
2026-05-08 10:12,940.0,7.828199863433838,120.07869195966967,121.03,0.951308040330332,0.7922371778082358,4600.0,76,-2.083333333333337,-1.0869565217391242,0.9963768115942129
2026-05-08 10:13,939.5,7.828199863433838,120.01482031501027,121.03,1.0151796849897323,0.8458786025968525,400.0,17,-2.1354166666666674,-1.0869565217391242,1.0484601449275432
